%t , vf , sr , u_s
4.640000e-01 , 7.624757e-01 , 1.394502e-01 , -1.171182e+01
4.650000e-01 , 7.654053e-01 , 1.111464e-01 , 5.326969e+00
4.660000e-01 , 7.683768e-01 , 7.966215e-02 , 1.200000e+01
4.670000e-01 , 7.710686e-01 , 4.580341e-02 , 1.200000e+01
4.680000e-01 , 7.725165e-01 , 1.712459e-02 , 1.200000e+01
4.690000e-01 , 7.723549e-01 , -1.759728e-03 , 1.200000e+01
4.700000e-01 , 7.713577e-01 , -1.128688e-02 , 1.200000e+01
4.710000e-01 , 7.701228e-01 , -1.429249e-02 , 1.200000e+01
4.720000e-01 , 7.690004e-01 , -1.284114e-02 , 1.200000e+01
4.730000e-01 , 7.682543e-01 , -8.291574e-03 , 1.200000e+01
4.740000e-01 , 7.680950e-01 , -1.734304e-03 , 1.200000e+01
4.750000e-01 , 7.686396e-01 , 5.981989e-03 , 1.200000e+01
4.760000e-01 , 7.698859e-01 , 1.438878e-02 , 1.200000e+01
4.770000e-01 , 7.717411e-01 , 2.343137e-02 , 1.200000e+01
4.780000e-01 , 7.740711e-01 , 3.333617e-02 , 1.200000e+01
4.790000e-01 , 7.767332e-01 , 4.444824e-02 , 1.200000e+01
4.800000e-01 , 7.795960e-01 , 5.712394e-02 , 1.200000e+01
4.810000e-01 , 7.825520e-01 , 7.166738e-02 , 1.200000e+01
4.820000e-01 , 7.855237e-01 , 8.829208e-02 , 1.200000e+01
4.830000e-01 , 7.884634e-01 , 1.071067e-01 , 7.758816e+00
4.840000e-01 , 7.913472e-01 , 1.281251e-01 , -4.894114e+00
4.850000e-01 , 7.941668e-01 , 1.512907e-01 , -1.200000e+01
4.860000e-01 , 7.969257e-01 , 1.751984e-01 , -1.200000e+01
4.870000e-01 , 7.996386e-01 , 1.959110e-01 , -1.200000e+01
4.880000e-01 , 8.023209e-01 , 2.113900e-01 , -1.200000e+01
4.890000e-01 , 8.049841e-01 , 2.218796e-01 , -1.200000e+01
4.900000e-01 , 8.076374e-01 , 2.276207e-01 , -1.200000e+01
